Facility,N0,Date,Facility_Outbreak,outbreak_size,Daily_New_Cases
Avenal State Prison (ASP),4286,2020-05-19,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-05-20,Avenal State Prison (ASP) Outbreak 1,3107,25
Avenal State Prison (ASP),4286,2020-05-21,Avenal State Prison (ASP) Outbreak 1,3107,23
Avenal State Prison (ASP),4286,2020-05-22,Avenal State Prison (ASP) Outbreak 1,3107,1
Avenal State Prison (ASP),4286,2020-05-23,Avenal State Prison (ASP) Outbreak 1,3107,79
Avenal State Prison (ASP),4286,2020-05-24,Avenal State Prison (ASP) Outbreak 1,3107,69
Avenal State Prison (ASP),4286,2020-05-25,Avenal State Prison (ASP) Outbreak 1,3107,1
Avenal State Prison (ASP),4286,2020-05-26,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-05-27,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-05-28,Avenal State Prison (ASP) Outbreak 1,3107,2
Avenal State Prison (ASP),4286,2020-05-29,Avenal State Prison (ASP) Outbreak 1,3107,16
Avenal State Prison (ASP),4286,2020-05-30,Avenal State Prison (ASP) Outbreak 1,3107,25
Avenal State Prison (ASP),4286,2020-05-31,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-01,Avenal State Prison (ASP) Outbreak 1,3107,357
Avenal State Prison (ASP),4286,2020-06-02,Avenal State Prison (ASP) Outbreak 1,3107,1
Avenal State Prison (ASP),4286,2020-06-03,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-04,Avenal State Prison (ASP) Outbreak 1,3107,238
Avenal State Prison (ASP),4286,2020-06-05,Avenal State Prison (ASP) Outbreak 1,3107,2
Avenal State Prison (ASP),4286,2020-06-06,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-07,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-08,Avenal State Prison (ASP) Outbreak 1,3107,2
Avenal State Prison (ASP),4286,2020-06-09,Avenal State Prison (ASP) Outbreak 1,3107,2
Avenal State Prison (ASP),4286,2020-06-10,Avenal State Prison (ASP) Outbreak 1,3107,1
Avenal State Prison (ASP),4286,2020-06-11,Avenal State Prison (ASP) Outbreak 1,3107,50
Avenal State Prison (ASP),4286,2020-06-12,Avenal State Prison (ASP) Outbreak 1,3107,2
Avenal State Prison (ASP),4286,2020-06-13,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-14,Avenal State Prison (ASP) Outbreak 1,3107,9
Avenal State Prison (ASP),4286,2020-06-15,Avenal State Prison (ASP) Outbreak 1,3107,3
Avenal State Prison (ASP),4286,2020-06-16,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-17,Avenal State Prison (ASP) Outbreak 1,3107,10
Avenal State Prison (ASP),4286,2020-06-18,Avenal State Prison (ASP) Outbreak 1,3107,2
Avenal State Prison (ASP),4286,2020-06-19,Avenal State Prison (ASP) Outbreak 1,3107,3
Avenal State Prison (ASP),4286,2020-06-20,Avenal State Prison (ASP) Outbreak 1,3107,4
Avenal State Prison (ASP),4286,2020-06-21,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-22,Avenal State Prison (ASP) Outbreak 1,3107,1
Avenal State Prison (ASP),4286,2020-06-23,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-24,Avenal State Prison (ASP) Outbreak 1,3107,0
Avenal State Prison (ASP),4286,2020-06-25,Avenal State Prison (ASP) Outbreak 1,3107,0
