Facility,Date,Facility_Outbreak,outbreak_sizes
Avenal State Prison (ASP),2020-05-19,Avenal State Prison (ASP) Outbreak 1,31041
California Correctional Center (CCC),2020-06-21,California Correctional Center (CCC) Outbreak 1,6590
California Correctional Center (CCC),2020-09-04,California Correctional Center (CCC) Outbreak 2,20
California Correctional Center (CCC),2020-09-24,California Correctional Center (CCC) Outbreak 3,10
California Correctional Center (CCC),2020-10-17,California Correctional Center (CCC) Outbreak 4,10
California Correctional Center (CCC),2020-11-17,California Correctional Center (CCC) Outbreak 5,6096
California Correctional Institution (CCI),2020-06-04,California Correctional Institution (CCI) Outbreak 1,10
California Correctional Institution (CCI),2020-06-19,California Correctional Institution (CCI) Outbreak 2,13410
California Institution for Men (CIM),2020-11-13,California Institution for Men (CIM) Outbreak 1,120
California Institution for Men (CIM),2020-12-20,California Institution for Men (CIM) Outbreak 2,720
California Institution for Men (CIM),2021-01-24,California Institution for Men (CIM) Outbreak 3,8
California Institution for Women (CIW),2020-05-04,California Institution for Women (CIW) Outbreak 1,1620
California Institution for Women (CIW),2020-06-25,California Institution for Women (CIW) Outbreak 2,10
California Institution for Women (CIW),2020-07-08,California Institution for Women (CIW) Outbreak 3,1890
California Institution for Women (CIW),2020-09-22,California Institution for Women (CIW) Outbreak 4,10
California Institution for Women (CIW),2020-10-17,California Institution for Women (CIW) Outbreak 5,10
California Institution for Women (CIW),2020-11-09,California Institution for Women (CIW) Outbreak 6,10
California Institution for Women (CIW),2020-11-25,California Institution for Women (CIW) Outbreak 7,820
California Institution for Women (CIW),2021-01-07,California Institution for Women (CIW) Outbreak 8,350
California Medical Facility (CMF),2020-07-03,California Medical Facility (CMF) Outbreak 1,10
California Medical Facility (CMF),2020-07-16,California Medical Facility (CMF) Outbreak 2,30
California Medical Facility (CMF),2020-08-04,California Medical Facility (CMF) Outbreak 3,30
California Medical Facility (CMF),2020-08-25,California Medical Facility (CMF) Outbreak 4,20
California Medical Facility (CMF),2020-09-22,California Medical Facility (CMF) Outbreak 5,50
California Medical Facility (CMF),2020-11-25,California Medical Facility (CMF) Outbreak 6,40
California Medical Facility (CMF),2020-12-12,California Medical Facility (CMF) Outbreak 7,6834
California Men's Colony (CMC),2020-04-21,California Men's Colony (CMC) Outbreak 1,100
California Men's Colony (CMC),2020-07-31,California Men's Colony (CMC) Outbreak 2,2940
California Men's Colony (CMC),2020-10-27,California Men's Colony (CMC) Outbreak 3,10
California Men's Colony (CMC),2020-11-09,California Men's Colony (CMC) Outbreak 4,20
California Men's Colony (CMC),2020-12-01,California Men's Colony (CMC) Outbreak 5,21318
California Rehabilitation Center (CRC),2020-06-09,California Rehabilitation Center (CRC) Outbreak 1,16680
California Rehabilitation Center (CRC),2020-12-05,California Rehabilitation Center (CRC) Outbreak 2,3118
California State Prison Corcoran (COR),2020-05-30,California State Prison Corcoran (COR) Outbreak 1,3600
California State Prison Corcoran (COR),2020-10-04,California State Prison Corcoran (COR) Outbreak 2,20
California State Prison Corcoran (COR),2020-11-01,California State Prison Corcoran (COR) Outbreak 3,6092
California State Prison Los Angeles County (LAC),2020-05-31,California State Prison Los Angeles County (LAC) Outbreak 1,10
California State Prison Los Angeles County (LAC),2020-07-10,California State Prison Los Angeles County (LAC) Outbreak 2,70
California State Prison Los Angeles County (LAC),2020-07-31,California State Prison Los Angeles County (LAC) Outbreak 3,10
California State Prison Los Angeles County (LAC),2020-08-13,California State Prison Los Angeles County (LAC) Outbreak 4,580
California State Prison Los Angeles County (LAC),2020-10-22,California State Prison Los Angeles County (LAC) Outbreak 5,20
California State Prison Los Angeles County (LAC),2020-11-09,California State Prison Los Angeles County (LAC) Outbreak 6,12988
California State Prison Sacramento (SAC),2020-06-15,California State Prison Sacramento (SAC) Outbreak 1,40
California State Prison Sacramento (SAC),2020-07-18,California State Prison Sacramento (SAC) Outbreak 2,90
California State Prison Sacramento (SAC),2020-09-03,California State Prison Sacramento (SAC) Outbreak 3,30
